C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_15_726.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_15_726.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_15_726.jpg, 0, 0, 0, 3.252849
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_15_827.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_15_827.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_15_827.jpg, 0, 0, 0, 3.215687
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_15_931.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_15_931.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_15_931.jpg, 0, 0, 0, 3.178912
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_037.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_037.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_037.jpg, 0, 0, 0, 3.142519
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_140.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_140.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_140.jpg, 0, 0, 0, 3.106493
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_244.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_244.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_244.jpg, 0, 0, 0, 3.070829
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_348.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_348.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_348.jpg, 0, 0, 0, 3.028507
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_451.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_451.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_451.jpg, 0, 0, 0, 2.993629
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_558.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_558.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_558.jpg, -0.142929, 0, 0, 2.957253
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_662.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_662.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_662.jpg, -0.4396406, 0, 0, 2.908014
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_770.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_770.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_770.jpg, -0.800787, 0, 0, 2.831926
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_875.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_875.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_875.jpg, -1, 0, 0, 2.758142
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_16_977.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_16_977.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_16_977.jpg, -1, 0, 0, 2.711522
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_17_082.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_17_082.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_17_082.jpg, -1, 0, 0, 2.667886
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_17_191.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_17_191.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_17_191.jpg, -1, 0, 0, 2.616755
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_17_295.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_17_295.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_17_295.jpg, -1, 0, 0, 2.575108
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_17_403.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_17_403.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_17_403.jpg, -1, 0, 0, 2.534322
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_17_503.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_17_503.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_17_503.jpg, -1, 0, 0, 2.494381
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_17_609.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_17_609.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_17_609.jpg, -1, 0, 0, 2.446436
C:\Users\Sharanya\Desktop\Data\IMG\center_2020_05_09_13_36_17_717.jpg, C:\Users\Sharanya\Desktop\Data\IMG\left_2020_05_09_13_36_17_717.jpg, C:\Users\Sharanya\Desktop\Data\IMG\right_2020_05_09_13_36_17_717.jpg, -1, 0, 0, 2.407168
